s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
12048,卢广仲 陶喆 陈绮贞 方大同 窦靖童 王菲,2025-03-29,309135,2386,27,10,170,华语 R&B/Soul 地铁
12049,蓝牙已连接，正在播放华语热门歌曲中,2025-06-26,1639916,5567,3,1,173,华语 流行 nan
12050,百万评论歌曲|999w+红心收藏千万点赞歌曲,2014-05-12,398099,1382,18,39,108,流行 华语 古风
12051,开车不听曲，一路没有劲！,2025-07-07,797977,4150,49,8,56,驾车 兴奋 华语
12052,那些不经意哼出却想不起歌名的歌,2024-06-18,50272520,130000,978,3382,158,华语 流行 旅行
12053,独处时，其实内心住了一个乐队,2023-09-28,168989,1588,35,9,68,华语 另类/独立 浪漫
12054,青春旋律 | 90后记忆中的华语经典,2025-06-24,2157772,10563,34,6,128,流行 90后 华语
12055,华语R&B｜缱绻时分 节奏布鲁斯的浪漫随想,2023-05-22,592017,5104,84,13,149,华语 R&B/Soul 放松
12056,华语R&B | 浪漫又清新的节奏布鲁斯,2025-01-02,136435,563,18,11,73,华语 流行 R&B/Soul
12057,夜深别听薛之谦【世界和平】,2017-07-05,5783256,57204,4260,597,114,华语 夜晚 孤独
12058,薛之谦歌曲合集（无重复）,2024-08-18,91945,984,30,24,137,华语 流行 nan
12059,【快乐歌单】治愈不开心，唤醒好心情,2023-06-23,1499711,7631,168,36,87,华语 流行 快乐
12060,你爱的歌 我反复听,2025-07-11,703969,4771,116,23,111,华语 nan nan
12061,王力宏「最好的地方」巡回演唱会歌单2025,2017-06-26,51700,599,53,3,65,华语 流行 经典
12062,烟嗓男声！催泪唱哭有故事的人,2025-07-07,466555,1122,8,1,60,流行 华语 蓝调
12063,给我一颗后悔药,2025-07-08,31847,1091,19,3,206,华语 怀旧 nan
12064,只是回忆加了分[emo版],2025-03-03,25236,166,125,2,66,流行 华语 伤感
12065,旋律说唱｜顶级腔调和抓耳旋律的碰撞,2025-06-12,452309,2501,48,5,55,华语 说唱 酒吧
12066,华语民谣｜民谣女声，惊艳透彻声线,2018-06-21,987922,5544,145,20,139,华语 流行 民谣
12067,『薛之谦丨终究是我少了一些天分』,2018-11-06,1134622,5803,80,22,104,华语 伤感 治愈
12068,去愛一個未來计划有你的人,2019-01-07,76123,209,11,4,318,华语 治愈 流行
12069,深夜emo歌单 | 「伤感」「心碎」「沉默」,2022-01-03,39903428,20785,346,437,193,华语 流行 夜晚
12070,散场都是难免的尽兴而归就好,2019-11-25,528963,2462,49,12,128,治愈 华语 流行
12071,听到前奏就能想起来的歌,2020-01-26,528774,1215,36,2,105,华语 放松 流行
12072,伤感emo歌曲｜把回忆拼好给你 若月亮没来,2025-07-30,184293,1436,4,4,111,华语 流行 伤感
12073,国语金曲 | 时光如水悄然带走珍贵的瞬间,2025-06-24,2481142,9711,3,3,181,华语 怀旧 思念
12074,许茹芸「适合相爱的时辰」巡回演唱会歌单,2024-06-11,6731,82,15,3,29,安静 流行 华语
12075,当我骑车的时候我在听些什么,2024-03-10,278227,1751,41,10,67,华语 摇滚 运动
12076,《种地吧》十个勤天专属歌单（持续更新版）,2024-06-24,68345,865,15,10,193,华语 流行 综艺
12077,好久不见，积攒了好多情绪都在歌里,2024-08-22,8620006,17584,113,409,163,流行 网络歌曲 华语
12078,天赐的声音|燃爆舞台的神级Live现场,2025-05-28,157305,280,1,2,128,华语 流行 综艺
12079,每时每刻都要开怀大笑，才能不负生活,2025-06-05,399674,1383,3,1,64,华语 快乐 驾车
12080,经典『堪比神仙打架的时代』_华语经典歌,2025-07-20,140497,401,9,5,72,华语 流行 怀旧
12081,地下世界的王（说唱）,2023-11-09,7491,71,4,1,195,说唱 华语 nan
12082,“抱紧我 直到肋骨断裂发出声音”,2024-09-07,21826,113,107,4,182,华语 流行 nan
12083,午夜孤寂叹息 | 「心碎」「遗憾」「无奈」,2025-04-24,286881,811,7,131,85,华语 流行 夜晚
12084,[初音未来、洛天依、乐正绫]使我沉浸的音乐,2019-02-04,29180,915,5,5,359,华语 日语 ACG
12085,王铮亮和他五个没上过春晚的兄弟,2023-02-14,9965,86,6,10,115,华语 流行 经典
12086,[华语R&B]｜灵魂停滞 心神迷离,2024-06-19,60776,213,12,3,92,华语 R&B/Soul 流行
12087,看人间疾苦的道爷,2025-03-07,62402,1347,31,10,81,华语 古风 说唱
12088,你的声音 我好像快忘了.,2020-06-24,35181484,7669,1885,81,140,流行 华语 治愈
12089,快乐加倍｜活力四射驱散倦怠,2025-06-19,605168,1924,11,2,34,华语 流行 快乐
12090,【时代少年团】2025加冠礼演唱会上海站,2025-08-05,193853,1784,49,12,50,华语 流行 00后
12091,【台湾宝藏乐队】总有触及内心的一首,2019-11-28,1514144,17207,370,95,293,华语 下午茶 浪漫
12092,emo天花板系列 失恋伤感大盘点,2024-06-04,37950256,34446,438,659,298,华语 流行 nan
12093,国风戏腔 |温一壶月光下酒，与你一世共逍遥,2025-04-10,204122,837,11,2,75,华语 古风 驾车
